S,I,R,tempo
0.25,5.92,63.83,286.4
0.25,5.92,63.84,286.5
0.25,5.91,63.84,286.6
0.24,5.91,63.85,286.7
0.24,5.90,63.86,286.8
0.24,5.89,63.86,286.9
0.24,5.89,63.87,287.0
0.24,5.88,63.88,287.1
0.24,5.87,63.88,287.2
0.24,5.87,63.89,287.3
0.24,5.86,63.90,287.4
0.24,5.85,63.90,287.5
0.24,5.85,63.91,287.6
0.24,5.84,63.92,287.7
0.24,5.83,63.92,287.8
0.24,5.83,63.93,287.9
0.24,5.82,63.94,288.0
0.24,5.81,63.94,288.1
0.24,5.81,63.95,288.2
0.24,5.80,63.96,288.3
0.24,5.79,63.96,288.4
0.24,5.79,63.97,288.5
0.24,5.78,63.98,288.6
0.24,5.78,63.98,288.7
0.24,5.77,63.99,288.8
0.24,5.76,64.00,288.9
0.24,5.76,64.00,289.0
0.24,5.75,64.01,289.1
0.24,5.74,64.02,289.2
0.24,5.74,64.02,289.3
0.24,5.73,64.03,289.4
0.24,5.72,64.03,289.5
0.24,5.72,64.04,289.6
0.24,5.71,64.05,289.7
0.24,5.71,64.05,289.8
0.24,5.70,64.06,289.9
0.24,5.69,64.07,290.0
0.24,5.69,64.07,290.1
0.24,5.68,64.08,290.2
0.24,5.67,64.09,290.3
0.24,5.67,64.09,290.4
0.24,5.66,64.10,290.5
0.24,5.65,64.11,290.6
0.24,5.65,64.11,290.7
0.24,5.64,64.12,290.8
0.24,5.64,64.13,290.9
0.24,5.63,64.13,291.0
0.24,5.62,64.14,291.1
0.24,5.62,64.14,291.2
0.24,5.61,64.15,291.3
0.24,5.60,64.16,291.4
0.24,5.60,64.16,291.5
0.24,5.59,64.17,291.6
0.24,5.59,64.18,291.7
0.24,5.58,64.18,291.8
0.24,5.57,64.19,291.9
0.24,5.57,64.20,292.0
0.24,5.56,64.20,292.1
0.24,5.55,64.21,292.2
0.24,5.55,64.21,292.3
0.24,5.54,64.22,292.4
0.24,5.54,64.23,292.5
0.24,5.53,64.23,292.6
0.24,5.52,64.24,292.7
0.24,5.52,64.25,292.8
0.24,5.51,64.25,292.9
0.24,5.51,64.26,293.0
0.24,5.50,64.26,293.1
0.24,5.49,64.27,293.2
0.24,5.49,64.28,293.3
0.24,5.48,64.28,293.4
0.24,5.47,64.29,293.5
0.24,5.47,64.30,293.6
0.24,5.46,64.30,293.7
0.24,5.46,64.31,293.8
0.24,5.45,64.31,293.9
0.24,5.44,64.32,294.0
0.23,5.44,64.33,294.1
0.23,5.43,64.33,294.2
0.23,5.43,64.34,294.3
0.23,5.42,64.35,294.4
0.23,5.41,64.35,294.5
0.23,5.41,64.36,294.6
0.23,5.40,64.36,294.7
0.23,5.40,64.37,294.8
0.23,5.39,64.38,294.9
0.23,5.38,64.38,295.0
0.23,5.38,64.39,295.1
0.23,5.37,64.39,295.2
0.23,5.37,64.40,295.3
0.23,5.36,64.41,295.4
0.23,5.35,64.41,295.5
0.23,5.35,64.42,295.6
0.23,5.34,64.42,295.7
0.23,5.34,64.43,295.8
0.23,5.33,64.44,295.9
0.23,5.32,64.44,296.0
0.23,5.32,64.45,296.1
0.23,5.31,64.46,296.2
0.23,5.31,64.46,296.3
0.23,5.30,64.47,296.4
0.23,5.29,64.47,296.5
0.23,5.29,64.48,296.6
0.23,5.28,64.49,296.7
0.23,5.28,64.49,296.8
0.23,5.27,64.50,296.9
0.23,5.27,64.50,297.0
0.23,5.26,64.51,297.1
0.23,5.25,64.52,297.2
0.23,5.25,64.52,297.3
0.23,5.24,64.53,297.4
0.23,5.24,64.53,297.5
0.23,5.23,64.54,297.6
0.23,5.22,64.54,297.7
0.23,5.22,64.55,297.8
0.23,5.21,64.56,297.9
0.23,5.21,64.56,298.0
0.23,5.20,64.57,298.1
0.23,5.20,64.57,298.2
0.23,5.19,64.58,298.3
0.23,5.18,64.59,298.4
0.23,5.18,64.59,298.5
0.23,5.17,64.60,298.6
0.23,5.17,64.60,298.7
0.23,5.16,64.61,298.8
0.23,5.16,64.62,298.9
0.23,5.15,64.62,299.0
0.23,5.14,64.63,299.1
0.23,5.14,64.63,299.2
0.23,5.13,64.64,299.3
0.23,5.13,64.64,299.4
0.23,5.12,64.65,299.5
0.23,5.12,64.66,299.6
0.23,5.11,64.66,299.7
0.23,5.10,64.67,299.8
0.23,5.10,64.67,299.9
0.23,5.09,64.68,300.0
0.23,5.09,64.69,300.1
0.23,5.08,64.69,300.2
0.23,5.08,64.70,300.3
0.23,5.07,64.70,300.4
0.23,5.06,64.71,300.5
0.23,5.06,64.71,300.6
0.23,5.05,64.72,300.7
0.23,5.05,64.73,300.8
0.23,5.04,64.73,300.9
0.23,5.04,64.74,301.0
0.23,5.03,64.74,301.1
0.23,5.02,64.75,301.2
0.23,5.02,64.75,301.3
0.23,5.01,64.76,301.4
0.23,5.01,64.77,301.5
0.23,5.00,64.77,301.6
0.23,5.00,64.78,301.7
0.23,4.99,64.78,301.8
0.23,4.99,64.79,301.9
0.23,4.98,64.79,302.0
0.23,4.97,64.80,302.1
0.23,4.97,64.81,302.2
0.23,4.96,64.81,302.3
0.22,4.96,64.82,302.4
0.22,4.95,64.82,302.5
0.22,4.95,64.83,302.6
0.22,4.94,64.83,302.7
0.22,4.94,64.84,302.8
0.22,4.93,64.85,302.9
0.22,4.93,64.85,303.0
0.22,4.92,64.86,303.1
0.22,4.91,64.86,303.2
0.22,4.91,64.87,303.3
0.22,4.90,64.87,303.4
0.22,4.90,64.88,303.5
0.22,4.89,64.88,303.6
0.22,4.89,64.89,303.7
0.22,4.88,64.90,303.8
0.22,4.88,64.90,303.9
0.22,4.87,64.91,304.0
0.22,4.86,64.91,304.1
0.22,4.86,64.92,304.2
0.22,4.85,64.92,304.3
0.22,4.85,64.93,304.4
0.22,4.84,64.93,304.5
0.22,4.84,64.94,304.6
0.22,4.83,64.94,304.7
0.22,4.83,64.95,304.8
0.22,4.82,64.96,304.9
0.22,4.82,64.96,305.0
0.22,4.81,64.97,305.1
0.22,4.81,64.97,305.2
0.22,4.80,64.98,305.3
0.22,4.80,64.98,305.4
0.22,4.79,64.99,305.5
0.22,4.78,64.99,305.6
0.22,4.78,65.00,305.7
0.22,4.77,65.01,305.8
0.22,4.77,65.01,305.9
0.22,4.76,65.02,306.0
0.22,4.76,65.02,306.1
0.22,4.75,65.03,306.2
0.22,4.75,65.03,306.3
0.22,4.74,65.04,306.4
0.22,4.74,65.04,306.5
0.22,4.73,65.05,306.6
0.22,4.73,65.05,306.7
0.22,4.72,65.06,306.8
0.22,4.72,65.06,306.9
0.22,4.71,65.07,307.0
0.22,4.70,65.08,307.1
0.22,4.70,65.08,307.2
0.22,4.69,65.09,307.3
0.22,4.69,65.09,307.4
0.22,4.68,65.10,307.5
0.22,4.68,65.10,307.6
0.22,4.67,65.11,307.7
0.22,4.67,65.11,307.8
0.22,4.66,65.12,307.9
0.22,4.66,65.12,308.0
0.22,4.65,65.13,308.1
0.22,4.65,65.13,308.2
0.22,4.64,65.14,308.3
0.22,4.64,65.14,308.4
0.22,4.63,65.15,308.5
0.22,4.63,65.15,308.6
0.22,4.62,65.16,308.7
0.22,4.62,65.17,308.8
0.22,4.61,65.17,308.9
0.22,4.61,65.18,309.0
0.22,4.60,65.18,309.1
0.22,4.60,65.19,309.2
0.22,4.59,65.19,309.3
0.22,4.59,65.20,309.4
0.22,4.58,65.20,309.5
0.22,4.58,65.21,309.6
0.22,4.57,65.21,309.7
0.22,4.57,65.22,309.8
0.22,4.56,65.22,309.9
0.22,4.56,65.23,310.0
0.22,4.55,65.23,310.1
0.22,4.55,65.24,310.2
0.22,4.54,65.24,310.3
0.22,4.53,65.25,310.4
0.22,4.53,65.25,310.5
0.22,4.52,65.26,310.6
0.22,4.52,65.26,310.7
0.22,4.51,65.27,310.8
0.22,4.51,65.27,310.9
0.22,4.50,65.28,311.0
0.22,4.50,65.28,311.1
0.22,4.49,65.29,311.2
0.22,4.49,65.29,311.3
0.22,4.48,65.30,311.4
0.22,4.48,65.30,311.5
0.22,4.47,65.31,311.6
0.22,4.47,65.31,311.7
0.22,4.46,65.32,311.8
0.22,4.46,65.33,311.9
0.22,4.45,65.33,312.0
0.21,4.45,65.34,312.1
0.21,4.44,65.34,312.2
0.21,4.44,65.35,312.3
0.21,4.43,65.35,312.4
0.21,4.43,65.36,312.5
0.21,4.43,65.36,312.6
0.21,4.42,65.37,312.7
0.21,4.42,65.37,312.8
0.21,4.41,65.38,312.9
0.21,4.41,65.38,313.0
0.21,4.40,65.39,313.1
0.21,4.40,65.39,313.2
0.21,4.39,65.40,313.3
0.21,4.39,65.40,313.4
0.21,4.38,65.41,313.5
0.21,4.38,65.41,313.6
0.21,4.37,65.42,313.7
0.21,4.37,65.42,313.8
0.21,4.36,65.43,313.9
0.21,4.36,65.43,314.0
0.21,4.35,65.44,314.1
0.21,4.35,65.44,314.2
0.21,4.34,65.45,314.3
0.21,4.34,65.45,314.4
0.21,4.33,65.46,314.5
0.21,4.33,65.46,314.6
0.21,4.32,65.46,314.7
0.21,4.32,65.47,314.8
0.21,4.31,65.47,314.9
0.21,4.31,65.48,315.0
0.21,4.30,65.48,315.1
0.21,4.30,65.49,315.2
0.21,4.29,65.49,315.3
0.21,4.29,65.50,315.4
0.21,4.28,65.50,315.5
0.21,4.28,65.51,315.6
0.21,4.27,65.51,315.7
0.21,4.27,65.52,315.8
0.21,4.27,65.52,315.9
0.21,4.26,65.53,316.0
0.21,4.26,65.53,316.1
0.21,4.25,65.54,316.2
0.21,4.25,65.54,316.3
0.21,4.24,65.55,316.4
0.21,4.24,65.55,316.5
0.21,4.23,65.56,316.6
0.21,4.23,65.56,316.7
0.21,4.22,65.57,316.8
0.21,4.22,65.57,316.9
0.21,4.21,65.58,317.0
0.21,4.21,65.58,317.1
0.21,4.20,65.59,317.2
0.21,4.20,65.59,317.3
0.21,4.19,65.60,317.4
0.21,4.19,65.60,317.5
0.21,4.18,65.61,317.6
0.21,4.18,65.61,317.7
0.21,4.18,65.61,317.8
0.21,4.17,65.62,317.9
0.21,4.17,65.62,318.0
0.21,4.16,65.63,318.1
0.21,4.16,65.63,318.2
0.21,4.15,65.64,318.3
0.21,4.15,65.64,318.4
0.21,4.14,65.65,318.5
0.21,4.14,65.65,318.6
0.21,4.13,65.66,318.7
0.21,4.13,65.66,318.8
0.21,4.12,65.67,318.9
0.21,4.12,65.67,319.0
0.21,4.12,65.68,319.1
0.21,4.11,65.68,319.2
0.21,4.11,65.69,319.3
0.21,4.10,65.69,319.4
0.21,4.10,65.69,319.5
0.21,4.09,65.70,319.6
0.21,4.09,65.70,319.7
0.21,4.08,65.71,319.8
0.21,4.08,65.71,319.9
0.21,4.07,65.72,320.0
0.21,4.07,65.72,320.1
0.21,4.07,65.73,320.2
0.21,4.06,65.73,320.3
0.21,4.06,65.74,320.4
0.21,4.05,65.74,320.5
0.21,4.05,65.75,320.6
0.21,4.04,65.75,320.7
0.21,4.04,65.75,320.8
0.21,4.03,65.76,320.9
0.21,4.03,65.76,321.0
0.21,4.02,65.77,321.1
0.21,4.02,65.77,321.2
0.21,4.02,65.78,321.3
0.21,4.01,65.78,321.4
0.21,4.01,65.79,321.5
0.21,4.00,65.79,321.6
0.21,4.00,65.80,321.7
0.21,3.99,65.80,321.8
0.21,3.99,65.80,321.9
0.21,3.98,65.81,322.0
0.21,3.98,65.81,322.1
0.21,3.98,65.82,322.2
0.21,3.97,65.82,322.3
0.21,3.97,65.83,322.4
0.21,3.96,65.83,322.5
0.21,3.96,65.84,322.6
0.21,3.95,65.84,322.7
0.21,3.95,65.85,322.8
0.21,3.94,65.85,322.9
0.21,3.94,65.85,323.0
0.21,3.94,65.86,323.1
0.21,3.93,65.86,323.2
0.21,3.93,65.87,323.3
0.21,3.92,65.87,323.4
0.20,3.92,65.88,323.5
0.20,3.91,65.88,323.6
0.20,3.91,65.89,323.7
0.20,3.91,65.89,323.8
0.20,3.90,65.89,323.9
0.20,3.90,65.90,324.0
0.20,3.89,65.90,324.1
0.20,3.89,65.91,324.2
0.20,3.88,65.91,324.3
0.20,3.88,65.92,324.4
0.20,3.87,65.92,324.5
0.20,3.87,65.93,324.6
0.20,3.87,65.93,324.7
0.20,3.86,65.93,324.8
0.20,3.86,65.94,324.9
0.20,3.85,65.94,325.0
0.20,3.85,65.95,325.1
0.20,3.84,65.95,325.2
0.20,3.84,65.96,325.3
0.20,3.84,65.96,325.4
0.20,3.83,65.96,325.5
0.20,3.83,65.97,325.6
0.20,3.82,65.97,325.7
0.20,3.82,65.98,325.8
0.20,3.81,65.98,325.9
0.20,3.81,65.99,326.0
0.20,3.81,65.99,326.1
0.20,3.80,66.00,326.2
0.20,3.80,66.00,326.3
0.20,3.79,66.00,326.4
0.20,3.79,66.01,326.5
0.20,3.78,66.01,326.6
0.20,3.78,66.02,326.7
0.20,3.78,66.02,326.8
0.20,3.77,66.03,326.9
0.20,3.77,66.03,327.0
0.20,3.76,66.03,327.1
0.20,3.76,66.04,327.2
0.20,3.76,66.04,327.3
0.20,3.75,66.05,327.4
0.20,3.75,66.05,327.5
0.20,3.74,66.06,327.6
0.20,3.74,66.06,327.7
0.20,3.73,66.06,327.8
0.20,3.73,66.07,327.9
0.20,3.73,66.07,328.0
0.20,3.72,66.08,328.1
0.20,3.72,66.08,328.2
0.20,3.71,66.09,328.3
0.20,3.71,66.09,328.4
0.20,3.71,66.09,328.5
0.20,3.70,66.10,328.6
0.20,3.70,66.10,328.7
0.20,3.69,66.11,328.8
0.20,3.69,66.11,328.9
0.20,3.68,66.11,329.0
0.20,3.68,66.12,329.1
0.20,3.68,66.12,329.2
0.20,3.67,66.13,329.3
0.20,3.67,66.13,329.4
0.20,3.66,66.14,329.5
0.20,3.66,66.14,329.6
0.20,3.66,66.14,329.7
0.20,3.65,66.15,329.8
0.20,3.65,66.15,329.9
0.20,3.64,66.16,330.0
0.20,3.64,66.16,330.1
0.20,3.64,66.16,330.2
0.20,3.63,66.17,330.3
0.20,3.63,66.17,330.4
0.20,3.62,66.18,330.5
0.20,3.62,66.18,330.6
0.20,3.62,66.19,330.7
0.20,3.61,66.19,330.8
0.20,3.61,66.19,330.9
0.20,3.60,66.20,331.0
0.20,3.60,66.20,331.1
0.20,3.60,66.21,331.2
0.20,3.59,66.21,331.3
0.20,3.59,66.21,331.4
0.20,3.58,66.22,331.5
0.20,3.58,66.22,331.6
0.20,3.58,66.23,331.7
0.20,3.57,66.23,331.8
0.20,3.57,66.23,331.9
0.20,3.56,66.24,332.0
0.20,3.56,66.24,332.1
0.20,3.56,66.25,332.2
0.20,3.55,66.25,332.3
0.20,3.55,66.25,332.4
0.20,3.54,66.26,332.5
0.20,3.54,66.26,332.6
0.20,3.54,66.27,332.7
0.20,3.53,66.27,332.8
0.20,3.53,66.27,332.9
0.20,3.52,66.28,333.0
0.20,3.52,66.28,333.1
0.20,3.52,66.29,333.2
0.20,3.51,66.29,333.3
0.20,3.51,66.29,333.4
0.20,3.50,66.30,333.5
0.20,3.50,66.30,333.6
0.20,3.50,66.31,333.7
0.20,3.49,66.31,333.8
0.20,3.49,66.31,333.9
0.20,3.48,66.32,334.0
0.20,3.48,66.32,334.1
0.20,3.48,66.33,334.2
0.20,3.47,66.33,334.3
0.20,3.47,66.33,334.4
0.20,3.47,66.34,334.5
0.20,3.46,66.34,334.6
0.20,3.46,66.35,334.7
0.20,3.45,66.35,334.8
0.20,3.45,66.35,334.9
0.20,3.45,66.36,335.0
0.20,3.44,66.36,335.1
0.20,3.44,66.37,335.2
0.20,3.43,66.37,335.3
0.20,3.43,66.37,335.4
0.20,3.43,66.38,335.5
0.20,3.42,66.38,335.6
0.20,3.42,66.38,335.7
0.20,3.42,66.39,335.8
0.20,3.41,66.39,335.9
0.20,3.41,66.40,336.0
0.20,3.40,66.40,336.1
0.20,3.40,66.40,336.2
0.20,3.40,66.41,336.3
0.20,3.39,66.41,336.4
0.20,3.39,66.42,336.5
0.20,3.38,66.42,336.6
0.20,3.38,66.42,336.7
0.20,3.38,66.43,336.8
0.20,3.37,66.43,336.9
0.20,3.37,66.44,337.0
0.20,3.37,66.44,337.1
0.19,3.36,66.44,337.2
0.19,3.36,66.45,337.3
0.19,3.35,66.45,337.4
0.19,3.35,66.45,337.5
0.19,3.35,66.46,337.6
0.19,3.34,66.46,337.7
0.19,3.34,66.47,337.8
0.19,3.34,66.47,337.9
0.19,3.33,66.47,338.0
0.19,3.33,66.48,338.1
0.19,3.32,66.48,338.2
0.19,3.32,66.48,338.3
0.19,3.32,66.49,338.4
0.19,3.31,66.49,338.5
0.19,3.31,66.50,338.6
0.19,3.31,66.50,338.7
0.19,3.30,66.50,338.8
0.19,3.30,66.51,338.9
0.19,3.30,66.51,339.0
0.19,3.29,66.51,339.1
0.19,3.29,66.52,339.2
0.19,3.28,66.52,339.3
0.19,3.28,66.53,339.4
0.19,3.28,66.53,339.5
0.19,3.27,66.53,339.6
0.19,3.27,66.54,339.7
0.19,3.27,66.54,339.8
0.19,3.26,66.54,339.9
0.19,3.26,66.55,340.0
0.19,3.26,66.55,340.1
0.19,3.25,66.56,340.2
0.19,3.25,66.56,340.3
0.19,3.24,66.56,340.4
0.19,3.24,66.57,340.5
0.19,3.24,66.57,340.6
0.19,3.23,66.57,340.7
0.19,3.23,66.58,340.8
0.19,3.23,66.58,340.9
0.19,3.22,66.59,341.0
0.19,3.22,66.59,341.1
0.19,3.22,66.59,341.2
0.19,3.21,66.60,341.3
0.19,3.21,66.60,341.4
0.19,3.20,66.60,341.5
0.19,3.20,66.61,341.6
0.19,3.20,66.61,341.7
0.19,3.19,66.61,341.8
0.19,3.19,66.62,341.9
0.19,3.19,66.62,342.0
0.19,3.18,66.63,342.1
0.19,3.18,66.63,342.2
0.19,3.18,66.63,342.3
0.19,3.17,66.64,342.4
0.19,3.17,66.64,342.5
0.19,3.17,66.64,342.6
0.19,3.16,66.65,342.7
0.19,3.16,66.65,342.8
0.19,3.15,66.65,342.9
0.19,3.15,66.66,343.0
0.19,3.15,66.66,343.1
0.19,3.14,66.66,343.2
0.19,3.14,66.67,343.3
0.19,3.14,66.67,343.4
0.19,3.13,66.68,343.5
0.19,3.13,66.68,343.6
0.19,3.13,66.68,343.7
0.19,3.12,66.69,343.8
0.19,3.12,66.69,343.9
0.19,3.12,66.69,344.0
0.19,3.11,66.70,344.1
0.19,3.11,66.70,344.2
0.19,3.11,66.70,344.3
0.19,3.10,66.71,344.4
0.19,3.10,66.71,344.5
0.19,3.10,66.71,344.6
0.19,3.09,66.72,344.7
0.19,3.09,66.72,344.8
0.19,3.08,66.72,344.9
0.19,3.08,66.73,345.0
0.19,3.08,66.73,345.1
0.19,3.07,66.74,345.2
0.19,3.07,66.74,345.3
0.19,3.07,66.74,345.4
0.19,3.06,66.75,345.5
0.19,3.06,66.75,345.6
0.19,3.06,66.75,345.7
0.19,3.05,66.76,345.8
0.19,3.05,66.76,345.9
0.19,3.05,66.76,346.0
0.19,3.04,66.77,346.1
0.19,3.04,66.77,346.2
0.19,3.04,66.77,346.3
0.19,3.03,66.78,346.4
0.19,3.03,66.78,346.5
0.19,3.03,66.78,346.6
0.19,3.02,66.79,346.7
0.19,3.02,66.79,346.8
0.19,3.02,66.79,346.9
0.19,3.01,66.80,347.0
0.19,3.01,66.80,347.1
0.19,3.01,66.80,347.2
0.19,3.00,66.81,347.3
0.19,3.00,66.81,347.4
0.19,3.00,66.81,347.5
0.19,2.99,66.82,347.6
0.19,2.99,66.82,347.7
0.19,2.99,66.82,347.8
0.19,2.98,66.83,347.9
0.19,2.98,66.83,348.0
0.19,2.98,66.84,348.1
0.19,2.97,66.84,348.2
0.19,2.97,66.84,348.3
0.19,2.97,66.85,348.4
0.19,2.96,66.85,348.5
0.19,2.96,66.85,348.6
0.19,2.96,66.86,348.7
0.19,2.95,66.86,348.8
0.19,2.95,66.86,348.9
0.19,2.95,66.87,349.0
0.19,2.94,66.87,349.1
0.19,2.94,66.87,349.2
0.19,2.94,66.88,349.3
0.19,2.93,66.88,349.4
0.19,2.93,66.88,349.5
0.19,2.93,66.89,349.6
0.19,2.92,66.89,349.7
0.19,2.92,66.89,349.8
0.19,2.92,66.90,349.9
0.19,2.91,66.90,350.0
0.19,2.91,66.90,350.1
0.19,2.91,66.91,350.2
0.19,2.90,66.91,350.3
0.19,2.90,66.91,350.4
0.19,2.90,66.92,350.5
0.19,2.89,66.92,350.6
0.19,2.89,66.92,350.7
0.19,2.89,66.93,350.8
0.19,2.88,66.93,350.9
0.19,2.88,66.93,351.0
0.19,2.88,66.93,351.1
0.19,2.88,66.94,351.2
0.19,2.87,66.94,351.3
0.19,2.87,66.94,351.4
0.19,2.87,66.95,351.5
0.19,2.86,66.95,351.6
0.19,2.86,66.95,351.7
0.19,2.86,66.96,351.8
0.19,2.85,66.96,351.9
0.19,2.85,66.96,352.0
0.19,2.85,66.97,352.1
0.19,2.84,66.97,352.2
0.19,2.84,66.97,352.3
0.19,2.84,66.98,352.4
0.19,2.83,66.98,352.5
0.19,2.83,66.98,352.6
0.19,2.83,66.99,352.7
0.19,2.82,66.99,352.8
0.19,2.82,66.99,352.9
0.19,2.82,67.00,353.0
0.19,2.81,67.00,353.1
0.19,2.81,67.00,353.2
0.19,2.81,67.01,353.3
0.19,2.81,67.01,353.4
0.19,2.80,67.01,353.5
0.19,2.80,67.02,353.6
0.19,2.80,67.02,353.7
0.19,2.79,67.02,353.8
0.19,2.79,67.03,353.9
0.19,2.79,67.03,354.0
0.19,2.78,67.03,354.1
0.19,2.78,67.03,354.2
0.19,2.78,67.04,354.3
0.18,2.77,67.04,354.4
0.18,2.77,67.04,354.5
0.18,2.77,67.05,354.6
0.18,2.76,67.05,354.7
0.18,2.76,67.05,354.8
0.18,2.76,67.06,354.9
0.18,2.76,67.06,355.0
0.18,2.75,67.06,355.1
0.18,2.75,67.07,355.2
0.18,2.75,67.07,355.3
0.18,2.74,67.07,355.4
0.18,2.74,67.08,355.5
0.18,2.74,67.08,355.6
0.18,2.73,67.08,355.7
0.18,2.73,67.08,355.8
0.18,2.73,67.09,355.9
0.18,2.72,67.09,356.0
0.18,2.72,67.09,356.1
0.18,2.72,67.10,356.2
0.18,2.72,67.10,356.3
0.18,2.71,67.10,356.4
0.18,2.71,67.11,356.5
0.18,2.71,67.11,356.6
0.18,2.70,67.11,356.7
0.18,2.70,67.12,356.8
0.18,2.70,67.12,356.9
0.18,2.69,67.12,357.0
0.18,2.69,67.12,357.1
0.18,2.69,67.13,357.2
0.18,2.69,67.13,357.3
0.18,2.68,67.13,357.4
0.18,2.68,67.14,357.5
0.18,2.68,67.14,357.6
0.18,2.67,67.14,357.7
0.18,2.67,67.15,357.8
0.18,2.67,67.15,357.9
0.18,2.66,67.15,358.0
0.18,2.66,67.16,358.1
0.18,2.66,67.16,358.2
0.18,2.66,67.16,358.3
0.18,2.65,67.16,358.4
0.18,2.65,67.17,358.5
0.18,2.65,67.17,358.6
0.18,2.64,67.17,358.7
0.18,2.64,67.18,358.8
0.18,2.64,67.18,358.9
0.18,2.63,67.18,359.0
0.18,2.63,67.19,359.1
0.18,2.63,67.19,359.2
0.18,2.63,67.19,359.3
0.18,2.62,67.19,359.4
0.18,2.62,67.20,359.5
0.18,2.62,67.20,359.6
0.18,2.61,67.20,359.7
0.18,2.61,67.21,359.8
0.18,2.61,67.21,359.9
0.18,2.61,67.21,360.0
0.18,2.60,67.22,360.1
0.18,2.60,67.22,360.2
0.18,2.60,67.22,360.3
0.18,2.59,67.22,360.4
0.18,2.59,67.23,360.5
0.18,2.59,67.23,360.6
0.18,2.59,67.23,360.7
0.18,2.58,67.24,360.8
0.18,2.58,67.24,360.9
0.18,2.58,67.24,361.0
0.18,2.57,67.24,361.1
0.18,2.57,67.25,361.2
0.18,2.57,67.25,361.3
0.18,2.57,67.25,361.4
0.18,2.56,67.26,361.5
0.18,2.56,67.26,361.6
0.18,2.56,67.26,361.7
0.18,2.55,67.26,361.8
0.18,2.55,67.27,361.9
0.18,2.55,67.27,362.0
0.18,2.55,67.27,362.1
0.18,2.54,67.28,362.2
0.18,2.54,67.28,362.3
0.18,2.54,67.28,362.4
0.18,2.53,67.29,362.5
0.18,2.53,67.29,362.6
0.18,2.53,67.29,362.7
0.18,2.53,67.29,362.8
0.18,2.52,67.30,362.9
0.18,2.52,67.30,363.0
0.18,2.52,67.30,363.1
0.18,2.51,67.31,363.2
0.18,2.51,67.31,363.3
0.18,2.51,67.31,363.4
0.18,2.51,67.31,363.5
0.18,2.50,67.32,363.6
0.18,2.50,67.32,363.7
0.18,2.50,67.32,363.8
0.18,2.49,67.33,363.9
0.18,2.49,67.33,364.0
0.18,2.49,67.33,364.1
0.18,2.49,67.33,364.2
0.18,2.48,67.34,364.3
0.18,2.48,67.34,364.4
0.18,2.48,67.34,364.5
0.18,2.47,67.35,364.6
0.18,2.47,67.35,364.7
0.18,2.47,67.35,364.8
0.18,2.47,67.35,364.9
0.18,2.46,67.36,365.0
0.18,2.46,67.36,365.1
0.18,2.46,67.36,365.2
0.18,2.46,67.36,365.3
0.18,2.45,67.37,365.4
0.18,2.45,67.37,365.5
0.18,2.45,67.37,365.6
0.18,2.44,67.38,365.7
0.18,2.44,67.38,365.8
0.18,2.44,67.38,365.9
0.18,2.44,67.38,366.0
0.18,2.43,67.39,366.1
0.18,2.43,67.39,366.2
0.18,2.43,67.39,366.3
0.18,2.43,67.40,366.4
0.18,2.42,67.40,366.5
0.18,2.42,67.40,366.6
0.18,2.42,67.40,366.7
0.18,2.41,67.41,366.8
0.18,2.41,67.41,366.9
0.18,2.41,67.41,367.0
0.18,2.41,67.41,367.1
0.18,2.40,67.42,367.2
0.18,2.40,67.42,367.3
0.18,2.40,67.42,367.4
0.18,2.40,67.43,367.5
0.18,2.39,67.43,367.6
0.18,2.39,67.43,367.7
0.18,2.39,67.43,367.8
0.18,2.39,67.44,367.9
0.18,2.38,67.44,368.0
0.18,2.38,67.44,368.1
0.18,2.38,67.44,368.2
0.18,2.37,67.45,368.3
0.18,2.37,67.45,368.4
0.18,2.37,67.45,368.5
0.18,2.37,67.46,368.6
0.18,2.36,67.46,368.7
0.18,2.36,67.46,368.8
0.18,2.36,67.46,368.9
0.18,2.36,67.47,369.0
0.18,2.35,67.47,369.1
0.18,2.35,67.47,369.2
0.18,2.35,67.47,369.3
0.18,2.35,67.48,369.4
0.18,2.34,67.48,369.5
0.18,2.34,67.48,369.6
0.18,2.34,67.48,369.7
0.18,2.33,67.49,369.8
0.18,2.33,67.49,369.9
0.18,2.33,67.49,370.0
0.18,2.33,67.50,370.1
0.18,2.32,67.50,370.2
0.18,2.32,67.50,370.3
0.18,2.32,67.50,370.4
0.18,2.32,67.51,370.5
0.18,2.31,67.51,370.6
0.18,2.31,67.51,370.7
0.18,2.31,67.51,370.8
0.18,2.31,67.52,370.9
0.18,2.30,67.52,371.0
0.18,2.30,67.52,371.1
0.18,2.30,67.52,371.2
0.18,2.30,67.53,371.3
0.18,2.29,67.53,371.4
0.18,2.29,67.53,371.5
0.18,2.29,67.53,371.6
0.18,2.29,67.54,371.7
0.18,2.28,67.54,371.8
0.18,2.28,67.54,371.9
0.18,2.28,67.54,372.0
0.18,2.28,67.55,372.1
0.18,2.27,67.55,372.2
0.18,2.27,67.55,372.3
0.18,2.27,67.56,372.4
0.18,2.27,67.56,372.5
0.18,2.26,67.56,372.6
0.18,2.26,67.56,372.7
0.18,2.26,67.57,372.8
0.18,2.26,67.57,372.9
0.18,2.25,67.57,373.0
0.18,2.25,67.57,373.1
0.18,2.25,67.58,373.2
0.18,2.25,67.58,373.3
0.18,2.24,67.58,373.4
0.18,2.24,67.58,373.5
0.18,2.24,67.59,373.6
0.18,2.24,67.59,373.7
